::ffff:127.0.0.1 - - [30/Dec/2023:01:54:21 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/105.0.0.0"
::ffff:127.0.0.1 - - [30/Dec/2023:01:58:27 +0000] "POST /api/auth/register HTTP/1.1" 500 39 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:00:07 +0000] "POST /api/auth/register HTTP/1.1" 500 39 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:02:16 +0000] "POST /api/auth/register HTTP/1.1" 500 1476 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:02:59 +0000] "POST /api/auth/register HTTP/1.1" 500 39 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:04:23 +0000] "POST /api/auth/register HTTP/1.1" 500 39 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:04:33 +0000] "POST /api/auth/register HTTP/1.1" 500 39 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:05:06 +0000] "POST /api/auth/register HTTP/1.1" 500 39 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:06:15 +0000] "POST /api/auth/register HTTP/1.1" 500 39 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:06:26 +0000] "POST /api/auth/register HTTP/1.1" 500 39 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:06:36 +0000] "POST /api/auth/register HTTP/1.1" 500 39 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:07:06 +0000] "POST /api/auth/register HTTP/1.1" 500 39 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:07:42 +0000] "POST /api/auth/register HTTP/1.1" 500 1516 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:11:05 +0000] "POST /api/auth/register HTTP/1.1" 500 1516 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:11:51 +0000] "POST /api/auth/register HTTP/1.1" 500 177 "-" "PostmanRuntime/7.35.0"
::ffff:127.0.0.1 - - [30/Dec/2023:02:12:57 +0000] "POST /api/auth/register HTTP/1.1" 500 1444 "-" "PostmanRuntime/7.35.0"
